env,variant,method,lambda,beta,seed,episode,sample_return,greedy_return,baseline
delayed_lever,abs_lam0.00_beta0.75,acct,0.0,0.75,6,60,1.12890625,2.0,0.6964756096682923
delayed_lever,abs_lam0.00_beta0.75,acct,0.0,0.75,6,80,1.34375,2.0,0.8173754332474831
delayed_lever,abs_lam0.00_beta0.75,acct,0.0,0.75,6,100,1.6328125,2.0,1.0407658466582244
delayed_lever,abs_lam0.00_beta0.75,acct,0.0,0.75,6,120,1.78125,2.0,1.2133874389571104
delayed_lever,abs_lam0.00_beta0.75,acct,0.0,0.75,6,140,1.73046875,2.0,1.3947830129960124
delayed_lever,abs_lam0.00_beta0.75,acct,0.0,0.75,6,160,1.82421875,2.0,1.5184700388717234
delayed_lever,abs_lam0.00_beta0.75,acct,0.0,0.75,6,180,1.80078125,2.0,1.571733580495499
delayed_lever,abs_lam0.00_beta0.75,acct,0.0,0.75,6,200,1.80078125,2.0,1.6400482947730763
delayed_lever,abs_lam0.00_beta0.75,acct,0.0,0.75,6,220,1.7421875,2.0,1.6976970707788694
delayed_lever,abs_lam0.00_beta0.75,acct,0.0,0.75,6,240,1.90234375,2.0,1.754277256513803
delayed_lever,abs_lam0.00_beta0.75,acct,0.0,0.75,6,260,1.90234375,2.0,1.7666469023110352
delayed_lever,abs_lam0.00_beta0.75,acct,0.0,0.75,6,280,1.86328125,2.0,1.7498062662553397
delayed_lever,abs_lam0.00_beta0.75,acct,0.0,0.75,6,300,1.91796875,2.0,1.7766299316435072
delayed_lever,abs_lam0.00_beta0.75,acct,0.0,0.75,6,320,1.859375,2.0,1.8316508019822224
delayed_lever,abs_lam0.00_beta0.75,acct,0.0,0.75,6,340,1.8984375,2.0,1.8640789333647545
delayed_lever,abs_lam0.00_beta0.75,acct,0.0,0.75,6,360,1.90234375,2.0,1.8501759613115696
delayed_lever,abs_lam0.00_beta0.75,acct,0.0,0.75,6,380,1.9375,2.0,1.8799579936423152
delayed_lever,abs_lam0.00_beta0.75,acct,0.0,0.75,6,400,1.87890625,2.0,1.8998407158413888
delayed_lever,abs_lam0.00_beta0.75,acct,0.0,0.75,7,1,0.546875,2.0,0.04
delayed_lever,abs_lam0.00_beta0.75,acct,0.0,0.75,7,20,0.703125,2.0,0.18178441294853825
delayed_lever,abs_lam0.00_beta0.75,acct,0.0,0.75,7,40,0.77734375,2.0,0.32559297897208694
delayed_lever,abs_lam0.00_beta0.75,acct,0.0,0.75,7,60,1.0625,2.0,0.6044117165931538
delayed_lever,abs_lam0.00_beta0.75,acct,0.0,0.75,7,80,1.234375,2.0,0.7989354619675424
delayed_lever,abs_lam0.00_beta0.75,acct,0.0,0.75,7,100,1.296875,2.0,1.0550903464216101
delayed_lever,abs_lam0.00_beta0.75,acct,0.0,0.75,7,120,1.61328125,2.0,1.168630949188385
delayed_lever,abs_lam0.00_beta0.75,acct,0.0,0.75,7,140,1.66015625,2.0,1.1951225583892224
delayed_lever,abs_lam0.00_beta0.75,acct,0.0,0.75,7,160,1.67578125,2.0,1.426008669995432
delayed_lever,abs_lam0.00_beta0.75,acct,0.0,0.75,7,180,1.7734375,2.0,1.4562087187771227
delayed_lever,abs_lam0.00_beta0.75,acct,0.0,0.75,7,200,1.79296875,2.0,1.598660714514149
delayed_lever,abs_lam0.00_beta0.75,acct,0.0,0.75,7,220,1.859375,2.0,1.7099166341095522
delayed_lever,abs_lam0.00_beta0.75,acct,0.0,0.75,7,240,1.80078125,2.0,1.759268828457987
delayed_lever,abs_lam0.00_beta0.75,acct,0.0,0.75,7,260,1.90234375,2.0,1.7515979113026117
delayed_lever,abs_lam0.00_beta0.75,acct,0.0,0.75,7,280,1.8828125,2.0,1.7906787612128185
delayed_lever,abs_lam0.00_beta0.75,acct,0.0,0.75,7,300,1.8828125,2.0,1.8362454723280264
delayed_lever,abs_lam0.00_beta0.75,acct,0.0,0.75,7,320,1.921875,2.0,1.8706578881464553
delayed_lever,abs_lam0.00_beta0.75,acct,0.0,0.75,7,340,1.91796875,2.0,1.8738520936969536
delayed_lever,abs_lam0.00_beta0.75,acct,0.0,0.75,7,360,1.90234375,2.0,1.8558793561088638
delayed_lever,abs_lam0.00_beta0.75,acct,0.0,0.75,7,380,1.90234375,2.0,1.8833570890716111
delayed_lever,abs_lam0.00_beta0.75,acct,0.0,0.75,7,400,1.921875,2.0,1.899982203293888
delayed_lever,abs_lam0.50_beta0.75,acct,0.5,0.75,0,1,0.57421875,0.75,0.01
delayed_lever,abs_lam0.50_beta0.75,acct,0.5,0.75,0,20,0.671875,2.0,0.18968551714135243
delayed_lever,abs_lam0.50_beta0.75,acct,0.5,0.75,0,40,0.921875,2.0,0.45201226282873147
delayed_lever,abs_lam0.50_beta0.75,acct,0.5,0.75,0,60,1.265625,2.0,0.6227547045262294
delayed_lever,abs_lam0.50_beta0.75,acct,0.5,0.75,0,80,1.3359375,2.0,0.8132916434797349
delayed_lever,abs_lam0.50_beta0.75,acct,0.5,0.75,0,100,1.57421875,2.0,1.047856004553392
delayed_lever,abs_lam0.50_beta0.75,acct,0.5,0.75,0,120,1.33984375,2.0,1.3212337025023813
delayed_lever,abs_lam0.50_beta0.75,acct,0.5,0.75,0,140,1.7265625,2.0,1.4249190753666294
