env,method,top_fraction,seed,episode,sample_return,greedy_return,baseline
delayed_lever,learned_pruned_acct,0.10,3,760,1.9609375,2.0,1.9207236198131823
delayed_lever,learned_pruned_acct,0.10,3,780,2.0,2.0,1.9470744566153935
delayed_lever,learned_pruned_acct,0.10,3,800,1.921875,2.0,1.964666485326967
delayed_lever,learned_pruned_acct,0.10,4,1,0.578125,0.5,0.005
delayed_lever,learned_pruned_acct,0.10,4,20,0.6328125,2.0,0.1699894042668498
delayed_lever,learned_pruned_acct,0.10,4,40,0.703125,2.0,0.3519481546912422
delayed_lever,learned_pruned_acct,0.10,4,60,0.96484375,2.0,0.5358550970600415
delayed_lever,learned_pruned_acct,0.10,4,80,1.06640625,2.0,0.6807372006760343
delayed_lever,learned_pruned_acct,0.10,4,100,1.28515625,2.0,0.9061308803934647
delayed_lever,learned_pruned_acct,0.10,4,120,1.2890625,2.0,0.9946747788582594
delayed_lever,learned_pruned_acct,0.10,4,140,1.42578125,2.0,1.147793952219492
delayed_lever,learned_pruned_acct,0.10,4,160,1.62890625,2.0,1.2841387201301844
delayed_lever,learned_pruned_acct,0.10,4,180,1.80078125,2.0,1.4545955493132523
delayed_lever,learned_pruned_acct,0.10,4,200,1.8046875,2.0,1.5732704141072613
delayed_lever,learned_pruned_acct,0.10,4,220,1.78515625,2.0,1.6435668825197411
delayed_lever,learned_pruned_acct,0.10,4,240,1.6875,2.0,1.648216203984525
delayed_lever,learned_pruned_acct,0.10,4,260,1.83984375,2.0,1.7443026393925471
delayed_lever,learned_pruned_acct,0.10,4,280,1.90234375,2.0,1.7888568164303014
delayed_lever,learned_pruned_acct,0.10,4,300,1.8203125,2.0,1.8398135677356173
delayed_lever,learned_pruned_acct,0.10,4,320,1.8984375,2.0,1.8316539511940393
delayed_lever,learned_pruned_acct,0.10,4,340,1.921875,2.0,1.8675925520349232
delayed_lever,learned_pruned_acct,0.10,4,360,1.8984375,2.0,1.8715137126127697
delayed_lever,learned_pruned_acct,0.10,4,380,1.87890625,2.0,1.8755740714430984
delayed_lever,learned_pruned_acct,0.10,4,400,1.90234375,2.0,1.9169322582023824
delayed_lever,learned_pruned_acct,0.10,4,420,1.8828125,2.0,1.9245250296114718
delayed_lever,learned_pruned_acct,0.10,4,440,1.90234375,2.0,1.9307712595637667
delayed_lever,learned_pruned_acct,0.10,4,460,1.921875,2.0,1.9537823410102064
