env,perturbation,method,seed,episode,sample_return,greedy_return,baseline
delayed_lever,scale_0.25,perturbed_agent_time_cf,6,100,0.7734375,2.0,0.5560519112402661
delayed_lever,scale_0.25,perturbed_agent_time_cf,6,120,0.8828125,2.0,0.5836520409552466
delayed_lever,scale_0.25,perturbed_agent_time_cf,6,140,0.84375,2.0,0.6697141111482228
delayed_lever,scale_0.25,perturbed_agent_time_cf,6,160,0.859375,2.0,0.6353900167996667
delayed_lever,scale_0.25,perturbed_agent_time_cf,6,180,0.921875,2.0,0.690842669790397
delayed_lever,scale_0.25,perturbed_agent_time_cf,6,200,1.0,2.0,0.7588716523100641
delayed_lever,scale_0.25,perturbed_agent_time_cf,6,220,0.96484375,2.0,0.8513651389793545
delayed_lever,scale_0.25,perturbed_agent_time_cf,6,240,1.08984375,2.0,0.950920380694542
delayed_lever,scale_0.25,perturbed_agent_time_cf,6,260,1.1328125,2.0,0.9713004431075368
delayed_lever,scale_0.25,perturbed_agent_time_cf,6,280,1.08203125,2.0,0.9458681956578442
delayed_lever,scale_0.25,perturbed_agent_time_cf,6,300,1.2890625,2.0,1.0366995048038898
delayed_lever,scale_0.25,perturbed_agent_time_cf,6,320,1.4140625,2.0,0.9946712019448156
delayed_lever,scale_0.25,perturbed_agent_time_cf,6,340,1.14453125,2.0,1.1265053275425119
delayed_lever,scale_0.25,perturbed_agent_time_cf,6,360,1.3203125,2.0,1.1584914536587212
delayed_lever,scale_0.25,perturbed_agent_time_cf,6,380,1.39453125,2.0,1.2973538509286207
delayed_lever,scale_0.25,perturbed_agent_time_cf,6,400,1.6171875,2.0,1.3246017419059637
delayed_lever,scale_0.25,perturbed_agent_time_cf,7,1,0.53515625,2.0,0.04
delayed_lever,scale_0.25,perturbed_agent_time_cf,7,20,0.62890625,2.0,0.17178441294853825
delayed_lever,scale_0.25,perturbed_agent_time_cf,7,40,0.6171875,2.0,0.2986448352657055
delayed_lever,scale_0.25,perturbed_agent_time_cf,7,60,0.71484375,2.0,0.45441568602111704
delayed_lever,scale_0.25,perturbed_agent_time_cf,7,80,0.65625,2.0,0.5789677484650056
delayed_lever,scale_0.25,perturbed_agent_time_cf,7,100,0.75390625,2.0,0.693843553471816
delayed_lever,scale_0.25,perturbed_agent_time_cf,7,120,0.6640625,2.0,0.7498405414541068
delayed_lever,scale_0.25,perturbed_agent_time_cf,7,140,0.80078125,2.0,0.7424355385961413
delayed_lever,scale_0.25,perturbed_agent_time_cf,7,160,0.86328125,2.0,0.8274252784593119
delayed_lever,scale_0.25,perturbed_agent_time_cf,7,180,0.91796875,2.0,0.8642830435275931
delayed_lever,scale_0.25,perturbed_agent_time_cf,7,200,1.03515625,2.0,0.9464558627992528
delayed_lever,scale_0.25,perturbed_agent_time_cf,7,220,1.00390625,2.0,0.9700315367909039
delayed_lever,scale_0.25,perturbed_agent_time_cf,7,240,1.0859375,2.0,0.978927697382377
delayed_lever,scale_0.25,perturbed_agent_time_cf,7,260,1.328125,2.0,1.014687548800358
delayed_lever,scale_0.25,perturbed_agent_time_cf,7,280,1.25390625,2.0,0.9826164975502454
delayed_lever,scale_0.25,perturbed_agent_time_cf,7,300,1.25,2.0,1.0006700311371444
delayed_lever,scale_0.25,perturbed_agent_time_cf,7,320,1.32421875,2.0,1.2260486704887175
delayed_lever,scale_0.25,perturbed_agent_time_cf,7,340,1.31640625,2.0,1.273820829801659
delayed_lever,scale_0.25,perturbed_agent_time_cf,7,360,1.2578125,2.0,1.305825767234841
delayed_lever,scale_0.25,perturbed_agent_time_cf,7,380,1.39453125,2.0,1.3910388336116606
delayed_lever,scale_0.25,perturbed_agent_time_cf,7,400,1.36328125,2.0,1.3725242243978981
delayed_lever,scale_0.25,perturbed_agent_time_cf,8,1,0.546875,2.0,0.005
delayed_lever,scale_0.25,perturbed_agent_time_cf,8,20,0.5703125,2.0,0.18075407320608894
delayed_lever,scale_0.25,perturbed_agent_time_cf,8,40,0.65234375,2.0,0.3427517234299616
delayed_lever,scale_0.25,perturbed_agent_time_cf,8,60,0.69921875,2.0,0.4594027486674593
delayed_lever,scale_0.25,perturbed_agent_time_cf,8,80,0.65625,2.0,0.5210022655481652
delayed_lever,scale_0.25,perturbed_agent_time_cf,8,100,0.69140625,2.0,0.5648643434044096
delayed_lever,scale_0.25,perturbed_agent_time_cf,8,120,0.76953125,2.0,0.6705906326171428
delayed_lever,scale_0.25,perturbed_agent_time_cf,8,140,0.76171875,2.0,0.7876407164915079
